position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type,profile_strategy_id,profile_symbol,profile_side,profile_variant_number,profile_timeframe,profile_base_name,profile_display_name,profile_extended_display_name,profile_exit_label,profile_signal_label,profile_time_label,profile_exit_profile,profile_signal_family,profile_risk_model_type,profile_sl_pips,profile_tp_pips,profile_sl_coef,profile_tp_coef,profile_trailing_coef,profile_match_status,entry_bar_time_utc,exit_bar_time_utc,bars_in_trade_m15,first_bar_open,last_bar_close,highest_high_in_trade,lowest_low_in_trade,mfe_price,mae_price,raw_mfe_abs,raw_mae_abs,mfe_abs,mae_abs,mfe_vs_entry_pct,mae_vs_entry_pct,time_to_mfe_min,time_to_mae_min,realized_abs_move,profit_capture_ratio,bars_positive_close_count,bars_negative_close_count,ohlc_history_start_utc,ohlc_history_end_utc,path_consistency_flag,path_consistency_note,path_data_status,path_data_reason,mfe_to_profile_tp_ratio,mae_to_profile_sl_ratio,holding_time_sec,trade_index,cum_net_sum,equity,equity_peak,drawdown_abs,drawdown_pct,recovered_to_new_peak
2,USDJPY,BUY,2021-07-14 03:15:00+00:00,2021-07-14 15:54:40+00:00,110.712,110.162,-0.5499999999999972,0.1,0.1,-50.43,0.0,-0.5,-50.93,,[sl 110.162],2,USDJPY_38_1.35.168_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_38_1.35.168_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,45580.0,1,-50.93,99949.07,99949.07,0.0,0.0,True
4,USDJPY,BUY,2021-07-26 15:45:00+00:00,2021-07-26 23:45:00+00:00,110.438,110.382,-0.0559999999999973,0.1,0.1,-5.57,0.0,-0.5,-6.07,,Strategy 1.35.168,4,USDJPY_38_1.35.168_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_38_1.35.168_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,28800.0,2,-57.0,99943.0,99949.07,-6.070000000006985,-6.0730930262852715e-05,False
6,USDJPY,BUY,2021-08-06 03:15:00+00:00,2021-08-06 23:45:00+00:00,109.882,110.233,0.3509999999999991,0.1,0.1,31.34,0.0,-0.5,30.84,,Strategy 1.35.168,6,USDJPY_38_1.35.168_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_38_1.35.168_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,73800.0,3,-26.16,99973.84,99973.84,0.0,0.0,True
8,USDJPY,BUY,2021-08-10 09:15:00+00:00,2021-08-10 23:45:00+00:00,110.448,110.597,0.1490000000000009,0.1,0.1,12.97,0.0,-0.5,12.47,,Strategy 1.35.168,8,USDJPY_38_1.35.168_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_38_1.35.168_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,52200.0,4,-13.69,99986.31,99986.31,0.0,0.0,True
10,USDJPY,BUY,2021-08-11 09:15:00+00:00,2021-08-11 23:45:00+00:00,110.751,110.433,-0.3179999999999978,0.1,0.1,-29.3,0.0,-0.5,-29.8,,Strategy 1.35.168,10,USDJPY_38_1.35.168_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_38_1.35.168_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,52200.0,5,-43.49,99956.51,99986.31,-29.80000000000291,-0.0002980408017857936,False
12,USDJPY,BUY,2021-08-24 03:30:00+00:00,2021-08-24 23:45:00+00:00,109.775,109.682,-0.0930000000000035,0.1,0.1,-8.98,0.0,-0.5,-9.48,,Strategy 1.35.168,12,USDJPY_38_1.35.168_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_38_1.35.168_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,72900.0,6,-52.97,99947.03,99986.31,-39.279999999998836,-0.00039285378168270075,False
14,USDJPY,BUY,2021-09-07 22:00:00+00:00,2021-09-07 23:45:00+00:00,110.34,110.292,-0.0480000000000018,0.1,0.1,-4.85,0.0,-0.5,-5.35,,Strategy 1.35.168,14,USDJPY_38_1.35.168_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_38_1.35.168_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,6300.0,7,-58.32,99941.68,99986.31,-44.63000000000466,-0.0004463611068355724,False
16,USDJPY,BUY,2021-09-08 03:15:00+00:00,2021-09-08 23:45:00+00:00,110.375,110.254,-0.1209999999999951,0.1,0.1,-11.47,0.0,-0.5,-11.97,,Strategy 1.35.168,16,USDJPY_38_1.35.168_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_38_1.35.168_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,73800.0,8,-70.29,99929.71,99986.31,-56.59999999999127,-0.0005660774960091164,False
18,USDJPY,BUY,2021-09-17 16:15:00+00:00,2021-09-17 23:45:00+00:00,110.123,109.97,-0.1530000000000058,0.1,0.1,-14.41,0.0,-0.5,-14.91,,Strategy 1.35.168,18,USDJPY_38_1.35.168_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_38_1.35.168_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,27000.0,9,-85.2,99914.8,99986.31,-71.50999999999476,-0.0007151979105939079,False
20,USDJPY,BUY,2021-09-23 10:15:00+00:00,2021-09-23 23:45:00+00:00,109.998,110.33,0.3319999999999936,0.1,0.1,29.59,0.0,-0.5,29.09,,Strategy 1.35.168,20,USDJPY_38_1.35.168_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01\listOfTrades_USDJPY_38_1.35.168_BUY_M15_IS_2021-07-14_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_38_1.35.168_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,48600.0,10,-56.11,99943.89,99986.31,-42.419999999998254,-0.000424258080931262,False
