position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type,profile_strategy_id,profile_symbol,profile_side,profile_variant_number,profile_timeframe,profile_base_name,profile_display_name,profile_extended_display_name,profile_exit_label,profile_signal_label,profile_time_label,profile_exit_profile,profile_signal_family,profile_risk_model_type,profile_sl_pips,profile_tp_pips,profile_sl_coef,profile_tp_coef,profile_trailing_coef,profile_match_status,entry_bar_time_utc,exit_bar_time_utc,bars_in_trade_m15,first_bar_open,last_bar_close,highest_high_in_trade,lowest_low_in_trade,mfe_price,mae_price,raw_mfe_abs,raw_mae_abs,mfe_abs,mae_abs,mfe_vs_entry_pct,mae_vs_entry_pct,time_to_mfe_min,time_to_mae_min,realized_abs_move,profit_capture_ratio,bars_positive_close_count,bars_negative_close_count,ohlc_history_start_utc,ohlc_history_end_utc,path_consistency_flag,path_consistency_note,path_data_status,path_data_reason,mfe_to_profile_tp_ratio,mae_to_profile_sl_ratio
2,USDJPY,BUY,2021-07-12 10:15:00+00:00,2021-07-12 23:45:30+00:00,110.262,110.344,0.0819999999999936,0.1,0.1,6.93,0.0,-0.5,6.43,,Strategy 2.4.138,2,2.4.138,IS,listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,2.4.138,USDJPY,BUY,40,M15,USDJPY_40_2.4.138_BUY_M15,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85__SIG_EMA_BB__TIME_0215_1200,FIXED_SL50_TP85,EMA_BB,0215_1200,fixed_sl_fixed_tp,"['EMA', 'BB']",fixed_pips,50.0,85.0,,,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
4,USDJPY,BUY,2021-07-13 04:00:00+00:00,2021-07-13 23:45:00+00:00,110.435,110.64,0.2049999999999983,0.1,0.1,18.03,0.0,-0.5,17.53,,Strategy 2.4.138,4,2.4.138,IS,listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,2.4.138,USDJPY,BUY,40,M15,USDJPY_40_2.4.138_BUY_M15,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85__SIG_EMA_BB__TIME_0215_1200,FIXED_SL50_TP85,EMA_BB,0215_1200,fixed_sl_fixed_tp,"['EMA', 'BB']",fixed_pips,50.0,85.0,,,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
6,USDJPY,BUY,2021-07-14 03:15:00+00:00,2021-07-14 15:42:40+00:00,110.712,110.212,-0.5,0.1,0.1,-45.87,0.0,-0.5,-46.37,,[sl 110.212],6,2.4.138,IS,listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,2.4.138,USDJPY,BUY,40,M15,USDJPY_40_2.4.138_BUY_M15,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85__SIG_EMA_BB__TIME_0215_1200,FIXED_SL50_TP85,EMA_BB,0215_1200,fixed_sl_fixed_tp,"['EMA', 'BB']",fixed_pips,50.0,85.0,,,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
8,USDJPY,BUY,2021-07-16 10:45:00+00:00,2021-07-16 23:45:00+00:00,110.225,110.066,-0.1589999999999918,0.1,0.1,-14.95,0.0,-0.5,-15.45,,Strategy 2.4.138,8,2.4.138,IS,listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,2.4.138,USDJPY,BUY,40,M15,USDJPY_40_2.4.138_BUY_M15,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85__SIG_EMA_BB__TIME_0215_1200,FIXED_SL50_TP85,EMA_BB,0215_1200,fixed_sl_fixed_tp,"['EMA', 'BB']",fixed_pips,50.0,85.0,,,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
10,USDJPY,BUY,2021-07-21 02:15:00+00:00,2021-07-21 23:45:00+00:00,109.96,110.286,0.3260000000000076,0.1,0.1,29.06,0.0,-0.5,28.56,,Strategy 2.4.138,10,2.4.138,IS,listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,2.4.138,USDJPY,BUY,40,M15,USDJPY_40_2.4.138_BUY_M15,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85__SIG_EMA_BB__TIME_0215_1200,FIXED_SL50_TP85,EMA_BB,0215_1200,fixed_sl_fixed_tp,"['EMA', 'BB']",fixed_pips,50.0,85.0,,,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
12,USDJPY,BUY,2021-07-22 09:15:00+00:00,2021-07-22 23:45:00+00:00,110.244,110.186,-0.0579999999999927,0.1,0.1,-5.76,0.0,-0.5,-6.26,,Strategy 2.4.138,12,2.4.138,IS,listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,2.4.138,USDJPY,BUY,40,M15,USDJPY_40_2.4.138_BUY_M15,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85__SIG_EMA_BB__TIME_0215_1200,FIXED_SL50_TP85,EMA_BB,0215_1200,fixed_sl_fixed_tp,"['EMA', 'BB']",fixed_pips,50.0,85.0,,,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
14,USDJPY,BUY,2021-07-23 06:45:00+00:00,2021-07-23 23:45:00+00:00,110.328,110.551,0.2229999999999989,0.1,0.1,19.67,0.0,-0.5,19.17,,Strategy 2.4.138,14,2.4.138,IS,listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,2.4.138,USDJPY,BUY,40,M15,USDJPY_40_2.4.138_BUY_M15,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85__SIG_EMA_BB__TIME_0215_1200,FIXED_SL50_TP85,EMA_BB,0215_1200,fixed_sl_fixed_tp,"['EMA', 'BB']",fixed_pips,50.0,85.0,,,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
16,USDJPY,BUY,2021-08-02 10:30:00+00:00,2021-08-02 17:20:40+00:00,109.778,109.278,-0.5,0.1,0.1,-46.25,0.0,-0.5,-46.75,,[sl 109.278],16,2.4.138,IS,listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,2.4.138,USDJPY,BUY,40,M15,USDJPY_40_2.4.138_BUY_M15,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85__SIG_EMA_BB__TIME_0215_1200,FIXED_SL50_TP85,EMA_BB,0215_1200,fixed_sl_fixed_tp,"['EMA', 'BB']",fixed_pips,50.0,85.0,,,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
18,USDJPY,BUY,2021-08-05 03:00:00+00:00,2021-08-05 23:45:00+00:00,109.585,109.783,0.1980000000000075,0.1,0.1,17.54,0.0,-0.5,17.04,,Strategy 2.4.138,18,2.4.138,IS,listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,2.4.138,USDJPY,BUY,40,M15,USDJPY_40_2.4.138_BUY_M15,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85__SIG_EMA_BB__TIME_0215_1200,FIXED_SL50_TP85,EMA_BB,0215_1200,fixed_sl_fixed_tp,"['EMA', 'BB']",fixed_pips,50.0,85.0,,,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
20,USDJPY,BUY,2021-08-06 03:15:00+00:00,2021-08-06 23:45:00+00:00,109.882,110.233,0.3509999999999991,0.1,0.1,31.34,0.0,-0.5,30.84,,Strategy 2.4.138,20,2.4.138,IS,listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDJPY\listOfTrades_USDJPY_40_2.4.138_BUY_M15.csv,DEMO_ACCOUNT,USDJPY,DEMO_ACCOUNT,2.4.138,USDJPY,BUY,40,M15,USDJPY_40_2.4.138_BUY_M15,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85,USDJPY_40_2.4.138_BUY_M15__FIXED_SL50_TP85__SIG_EMA_BB__TIME_0215_1200,FIXED_SL50_TP85,EMA_BB,0215_1200,fixed_sl_fixed_tp,"['EMA', 'BB']",fixed_pips,50.0,85.0,,,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-18 07:00:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,
