position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,USOIL.cash,BUY,2021-07-06 12:45:00+00:00,2021-07-06 14:43:40+00:00,75.821,75.291,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 75.291],2,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
4,USOIL.cash,BUY,2021-07-09 05:45:00+00:00,2021-07-09 15:48:40+00:00,72.352,73.327,0.9749999999999943,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 73.327],4,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
6,USOIL.cash,BUY,2021-07-14 05:45:00+00:00,2021-07-14 14:10:40+00:00,74.467,73.937,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 73.937],6,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
8,USOIL.cash,BUY,2021-07-15 13:30:00+00:00,2021-07-15 14:20:40+00:00,71.667,71.137,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 71.137],8,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
10,USOIL.cash,BUY,2021-07-16 08:45:00+00:00,2021-07-16 17:09:40+00:00,71.126,70.596,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 70.596],10,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
12,USOIL.cash,BUY,2021-07-20 12:00:00+00:00,2021-07-20 15:54:40+00:00,66.294,65.764,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 65.764],12,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
14,USOIL.cash,BUY,2021-07-21 01:45:00+00:00,2021-07-21 11:12:40+00:00,66.561,67.536,0.9749999999999943,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 67.536],14,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
16,USOIL.cash,BUY,2021-07-22 06:00:00+00:00,2021-07-22 12:14:40+00:00,69.788,70.763,0.9750000000000085,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 70.763],16,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
18,USOIL.cash,BUY,2021-07-23 07:15:00+00:00,2021-07-23 23:45:00+00:00,71.398,71.885,0.487000000000009,0.1,0.1,4.87,0.0,0.0,4.87,,Strategy 5.2.121,18,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
20,USOIL.cash,BUY,2021-07-30 04:00:00+00:00,2021-07-30 23:45:00+00:00,72.939,73.307,0.3680000000000092,0.1,0.1,3.68,0.0,0.0,3.68,,Strategy 5.2.121,20,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
22,USOIL.cash,BUY,2021-08-03 15:15:00+00:00,2021-08-03 15:22:40+00:00,70.528,69.998,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 69.998],22,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
24,USOIL.cash,BUY,2021-08-04 09:00:00+00:00,2021-08-04 14:07:40+00:00,70.037,69.507,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 69.507],24,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
26,USOIL.cash,BUY,2021-08-05 09:15:00+00:00,2021-08-05 09:52:20+00:00,67.941,67.411,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 67.411],26,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
28,USOIL.cash,BUY,2021-08-06 05:00:00+00:00,2021-08-06 13:27:40+00:00,68.732,69.707,0.9749999999999943,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 69.707],28,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
30,USOIL.cash,BUY,2021-08-10 05:45:00+00:00,2021-08-10 10:29:40+00:00,66.505,67.48,0.9750000000000085,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 67.480],30,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
32,USOIL.cash,BUY,2021-08-11 04:45:00+00:00,2021-08-11 13:13:40+00:00,68.103,67.573,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 67.573],32,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
34,USOIL.cash,BUY,2021-08-17 06:30:00+00:00,2021-08-17 09:53:40+00:00,67.093,66.563,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 66.563],34,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
36,USOIL.cash,BUY,2021-08-20 10:30:00+00:00,2021-08-20 13:12:40+00:00,63.457,62.927,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 62.927],36,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
38,USOIL.cash,BUY,2021-08-25 04:15:00+00:00,2021-08-25 21:28:40+00:00,67.27,68.245,0.9750000000000085,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 68.245],38,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
40,USOIL.cash,BUY,2021-08-26 03:15:00+00:00,2021-08-26 10:54:40+00:00,67.829,67.299,-0.5299999999999869,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 67.299],40,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
42,USOIL.cash,BUY,2021-09-02 01:30:00+00:00,2021-09-02 15:47:40+00:00,68.055,69.03,0.9749999999999943,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 69.030],42,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
44,USOIL.cash,BUY,2021-09-07 11:15:00+00:00,2021-09-07 13:14:40+00:00,68.877,68.347,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 68.347],44,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
46,USOIL.cash,BUY,2021-09-08 07:15:00+00:00,2021-09-08 13:30:40+00:00,68.219,69.194,0.9750000000000085,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 69.194],46,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
48,USOIL.cash,BUY,2021-09-14 14:30:00+00:00,2021-09-14 19:57:40+00:00,70.458,69.928,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 69.928],48,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
50,USOIL.cash,BUY,2021-09-16 04:00:00+00:00,2021-09-16 16:45:40+00:00,72.186,71.656,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 71.656],50,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
52,USOIL.cash,BUY,2021-09-17 04:30:00+00:00,2021-09-17 12:15:40+00:00,72.211,71.681,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 71.681],52,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
54,USOIL.cash,BUY,2021-09-21 02:15:00+00:00,2021-09-21 11:12:40+00:00,70.373,71.348,0.9749999999999943,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 71.348],54,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
56,USOIL.cash,BUY,2021-09-23 12:30:00+00:00,2021-09-23 17:31:40+00:00,72.027,73.002,0.9749999999999943,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 73.002],56,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
58,USOIL.cash,BUY,2021-09-24 06:00:00+00:00,2021-09-24 20:02:40+00:00,73.014,73.989,0.9750000000000085,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 73.989],58,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
60,USOIL.cash,BUY,2021-09-28 02:30:00+00:00,2021-09-28 08:59:40+00:00,75.214,76.189,0.9749999999999943,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 76.189],60,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
62,USOIL.cash,BUY,2021-09-30 14:00:00+00:00,2021-09-30 14:43:40+00:00,74.517,73.987,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 73.987],62,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
64,USOIL.cash,BUY,2021-10-05 04:15:00+00:00,2021-10-05 14:15:40+00:00,77.356,78.331,0.9750000000000085,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 78.331],64,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
66,USOIL.cash,BUY,2021-10-06 04:45:00+00:00,2021-10-06 12:37:40+00:00,78.729,78.199,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 78.199],66,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
68,USOIL.cash,BUY,2021-10-08 13:00:00+00:00,2021-10-08 17:09:20+00:00,78.734,79.709,0.9750000000000085,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 79.709],68,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
70,USOIL.cash,BUY,2021-10-13 11:15:00+00:00,2021-10-13 15:52:40+00:00,79.665,79.135,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 79.135],70,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
72,USOIL.cash,BUY,2021-10-14 05:45:00+00:00,2021-10-14 12:18:40+00:00,79.886,80.861,0.9750000000000085,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 80.861],72,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
74,USOIL.cash,BUY,2021-10-21 07:45:00+00:00,2021-10-21 11:00:40+00:00,83.24,82.71,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 82.710],74,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
76,USOIL.cash,BUY,2021-10-22 06:00:00+00:00,2021-10-22 14:32:40+00:00,81.961,82.936,0.9750000000000085,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 82.936],76,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
78,USOIL.cash,BUY,2021-10-28 13:45:00+00:00,2021-10-28 16:02:40+00:00,80.562,81.537,0.9750000000000085,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 81.537],78,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
80,USOIL.cash,BUY,2021-11-05 14:30:00+00:00,2021-11-05 17:49:40+00:00,78.521,79.496,0.9749999999999943,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 79.496],80,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
82,USOIL.cash,BUY,2021-11-09 02:45:00+00:00,2021-11-09 19:19:40+00:00,81.045,82.02,0.9749999999999943,0.1,0.1,9.75,0.0,0.0,9.75,,[tp 82.020],82,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
84,USOIL.cash,BUY,2021-11-10 11:15:00+00:00,2021-11-10 14:15:40+00:00,82.864,82.334,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 82.334],84,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
86,USOIL.cash,BUY,2021-11-11 13:00:00+00:00,2021-11-11 13:38:40+00:00,79.792,79.262,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 79.262],86,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
88,USOIL.cash,BUY,2021-11-12 04:30:00+00:00,2021-11-12 10:53:40+00:00,80.105,79.575,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 79.575],88,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
90,USOIL.cash,BUY,2021-11-16 12:30:00+00:00,2021-11-16 16:16:40+00:00,80.077,79.547,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 79.547],90,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
92,USOIL.cash,BUY,2021-11-17 11:45:00+00:00,2021-11-17 18:04:40+00:00,78.875,78.345,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 78.345],92,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
94,USOIL.cash,BUY,2021-11-19 11:45:00+00:00,2021-11-19 12:02:40+00:00,77.647,77.117,-0.5300000000000011,0.1,0.1,-5.3,0.0,0.0,-5.3,,[sl 77.117],94,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
96,USOIL.cash,BUY,2021-11-24 12:15:00+00:00,2021-11-24 23:45:00+00:00,78.137,78.153,0.016000000000005343,0.1,0.1,0.16,0.0,0.0,0.16,,Strategy 5.2.121,96,75.291,IS,listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USOIL.cash\listOfTrades_USOIL.cash_43_5.11.112_BUY_M15.csv,DEMO_ACCOUNT,USOIL.cash,DEMO_ACCOUNT
